epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1551,1.1848,2.95828,1.44738,0.03169,0.99355,0.45866,0.30214,0.96749,3.01266,1.38166,0.000406504,0.000406504,0.000406504
2,16.0509,1.16432,2.24323,1.4082,0.92277,0.21192,0.33684,0.21189,1.09237,2.55069,1.55431,0.000815021,0.000815021,0.000815021
3,23.2047,1.17408,1.96109,1.37055,0.80088,0.29355,0.30533,0.17858,1.38238,2.17808,1.74126,0.00121529,0.00121529,0.00121529
4,29.0477,1.22169,1.92438,1.40477,0.35311,0.37742,0.39795,0.25066,1.32289,1.50338,1.70307,0.00121287,0.00121287,0.00121287
5,35.1099,1.20507,1.86362,1.40681,0.88181,0.36474,0.40426,0.23447,1.37539,1.51288,1.78665,0.0012005,0.0012005,0.0012005
6,41.0128,1.17125,1.68431,1.37249,0.38773,0.4129,0.43761,0.28618,1.14925,1.13953,1.49658,0.00118812,0.00118812,0.00118812
7,47.2186,1.12944,1.59155,1.34735,0.89388,0.4,0.41801,0.26865,1.20417,1.45757,1.60266,0.00117575,0.00117575,0.00117575
8,54.9341,1.17096,1.53684,1.38905,0.89764,0.40645,0.92207,0.63783,1.12431,1.09472,1.45317,0.00116337,0.00116337,0.00116337
9,60.4018,1.07501,1.41299,1.31459,0.4354,0.4131,0.47835,0.3342,1.05461,0.97924,1.40694,0.001151,0.001151,0.001151
10,65.8749,1.08432,1.33998,1.32152,0.91953,0.38387,0.44253,0.26355,1.27143,1.13859,1.57846,0.00113863,0.00113863,0.00113863
11,71.2098,1.04126,1.29722,1.28646,0.95047,0.42258,0.46503,0.29526,1.20887,0.93903,1.5354,0.00112625,0.00112625,0.00112625
12,76.4694,1.0545,1.30024,1.31035,0.90407,0.39406,0.43192,0.26256,1.364,1.04156,1.66969,0.00111388,0.00111388,0.00111388
13,81.8512,1.02749,1.2276,1.27317,0.9535,0.43871,0.47751,0.33492,1.02616,0.78819,1.35262,0.0011015,0.0011015,0.0011015
14,87.9363,1.0274,1.20405,1.28002,0.46012,0.42258,0.46428,0.33411,1.04007,0.85551,1.34842,0.00108913,0.00108913,0.00108913
15,93.5148,1.00532,1.15128,1.25677,0.43404,0.42454,0.4638,0.31903,1.10024,0.86125,1.44038,0.00107675,0.00107675,0.00107675
16,98.8605,1.03803,1.1814,1.28624,0.95882,0.36452,0.42003,0.27711,1.19796,1.08391,1.49243,0.00106437,0.00106437,0.00106437
17,104.403,0.98966,1.09034,1.22865,0.91438,0.44516,0.4638,0.3246,1.07775,0.81877,1.36759,0.001052,0.001052,0.001052
18,109.836,0.98048,1.13647,1.25166,0.93663,0.43871,0.46899,0.33857,1.00746,0.86699,1.32817,0.00103962,0.00103962,0.00103962
19,115.281,1.0033,1.08756,1.23579,0.48191,0.42966,0.48171,0.3324,1.11726,0.72808,1.40032,0.00102725,0.00102725,0.00102725
20,120.458,0.97433,1.08327,1.23557,0.44048,0.45357,0.4818,0.34063,1.03303,0.7096,1.33317,0.00101488,0.00101488,0.00101488
21,126.133,0.98846,1.09817,1.23435,0.95945,0.45484,0.4794,0.33299,1.06627,0.71463,1.40088,0.0010025,0.0010025,0.0010025
22,131.509,0.97798,1.01377,1.21945,0.47279,0.40645,0.46922,0.34516,0.95134,0.90816,1.3175,0.000990125,0.000990125,0.000990125
23,136.731,0.94636,1.02899,1.21268,0.93223,0.42581,0.47924,0.34972,0.96616,0.77133,1.29048,0.00097775,0.00097775,0.00097775
24,142.395,0.93267,0.98277,1.21285,0.97674,0.43871,0.48019,0.35581,0.98543,0.72002,1.31376,0.000965375,0.000965375,0.000965375
25,148.276,0.94928,0.98943,1.21553,0.42149,0.67752,0.52194,0.38419,0.93847,0.73917,1.26334,0.000953,0.000953,0.000953
26,155.02,0.93223,0.96994,1.21212,0.45824,0.46021,0.48504,0.35431,0.9796,0.72785,1.32232,0.000940625,0.000940625,0.000940625
27,160.546,0.91236,0.97732,1.18766,0.4465,0.45769,0.4841,0.36348,0.92139,0.7497,1.27451,0.00092825,0.00092825,0.00092825
28,165.953,0.91716,0.88397,1.20665,0.46272,0.44043,0.48747,0.35549,0.94652,0.68548,1.28983,0.000915875,0.000915875,0.000915875
29,171.415,0.92633,0.9206,1.19932,0.44174,0.46774,0.47918,0.36219,0.91103,0.62187,1.23141,0.0009035,0.0009035,0.0009035
30,176.72,0.88289,0.91307,1.18608,0.47586,0.44514,0.48732,0.36522,0.8986,0.68582,1.23643,0.000891125,0.000891125,0.000891125
31,184.336,0.86011,0.8736,1.16727,0.46393,0.4564,0.48746,0.35709,0.99413,0.73546,1.30182,0.00087875,0.00087875,0.00087875
32,189.84,0.93257,0.89972,1.20364,0.98091,0.40633,0.47832,0.33959,1.05577,0.74049,1.32922,0.000866375,0.000866375,0.000866375
33,195.807,0.90895,0.90466,1.19735,0.45503,0.45694,0.50038,0.34778,1.04852,0.65886,1.35369,0.000854,0.000854,0.000854
34,201.265,0.91489,0.87394,1.19948,0.44482,0.4681,0.48069,0.367,0.89997,0.65906,1.231,0.000841625,0.000841625,0.000841625
35,206.883,0.90565,0.88827,1.1915,0.43824,0.44839,0.46212,0.34384,0.92023,0.81499,1.26787,0.00082925,0.00082925,0.00082925
36,212.392,0.88829,0.86839,1.17862,0.46831,0.44839,0.48373,0.35251,0.98574,0.64083,1.27946,0.000816875,0.000816875,0.000816875
37,217.811,0.90178,0.8441,1.18816,0.46051,0.45145,0.48102,0.3599,0.92285,0.66264,1.23691,0.0008045,0.0008045,0.0008045
38,223.404,0.89523,0.85487,1.17973,0.47289,0.45009,0.47816,0.3599,0.9279,0.62935,1.24708,0.000792125,0.000792125,0.000792125
